UNI_ST_UNIDADE,PRO_ST_DEFITEM,PRO_IN_CODIGO,PRO_ST_DESCRICAO,GRU_IDE_ST_CODIGO
UN,MP,7360,"PORTA AL 70X220 ESQ, 3 VID SUP BASC E 1 FIX, MINI-BOREAL, VZ INF VENT",15
UN,MP,7387,CAIXA OCTOGONAL PVC 4X4 C/ FUNDO MÓVEL AMARELA,01
UN,OU,7502,PEN DRIVE 16Gb,07
UN,OU,7600,CARVÃO,07
UN,OU,7645,ADAPTADOR P/ MANGUEIRA 3/4 ROSCA EXT,07
UN,OU,7817,CONECTOR BIMETÁLICO,15
UN,MP,7929,"CAP 3/4"" COM ROSCA",01
UN,MP,8074,"LUVA SOLDÁVEL 50MM, PVC MARROM, ÁGUA FRIA",01
UN,OU,8138,PARAFUSO FLANGEADO BROCANTE 8X1/2 PHILLIPS ZINCADO BRANCO,07
SE,SE,8235,SERVIÇO DE HOSPEDAGEM ADMINISTRATIVO,09
SE,SE,8403,SERVICO DE CONFECÇÃO DE DISPOSITIVO DE SEGURANÇA,15
PC,MP,6573,"ABRAÇADEIRA TIPO D C/ CUNHA 1""",01
UN,OU,6579,PARAFUSADEIRA DE GESSO MAKITA DFR 550 BATERIA,07
PC,MP,6612,PINUS APARELHADO 25X50X4200MM,15
UN,OU,6451,AUTODESK AUTOCAD LT,15
UN,OU,7008,COLETE REFLETIVO GG,07
PC,FE,6948,ESQUADRO ALUMINIO 30CM,15
UN,OU,7095,PÃO DE QUEIJO,07
UN,DI,7104,ANEL TIPO M 13-8,15
UN,MP,7125,PASTA LUBRIFICANTE PARA TUBO DE PVC 400G,01
PC,FE,7165,PISTOLA DE CALAFETAGEM,15
UN,OU,7232,MANGUEIRA,07
UN,DI,7256,NIVEL DE MAO (BOLHA),07
PC,MP,7274,PINUS APARELHADO 25X50X3600MM,15
M,OU,7641,"EXTENSÃO 100M 2VIAS 2,5MM",07
UN,OU,7776,CONECTOR FLAT,15
PC,MP,7788,PINUS APARELHADO 30X45X4000MM - INATIVAR ITEM,15
SE,SE,6366,SERVICO DE BENEFICIO DE VALE ALIMENTAÇÃO,09
SE,SE,6367,SERVICO DE RECRUTAMENTO E SELEÇÃO,09
SE,SE,6368,SERVICO DE CALIBRAÇÃO E ENSAIO,09
PC,OU,6464,LIMPA REJUNTE,07
PC,OU,6465,JARRA DE VIDRO,15
SE,SE,6920,MO INSTALAÇÃO HIDRÁULICA,09
PC,MP,6954,PINUS BRUTO 49X100X3000MM,15
UN,OU,7003,BUCHA S-10,15
FD,OU,7178,PAPEL HIGIÊNICO FARDO,07
UN,OU,7267,FECHO MULTIUSO,07
UN,OU,7642,BITS PH2 1/4 X 89 MM,15
PC,MP,7789,PINUS APARELHADO 38X60X3500MM,15
UN,OU,7811,TESOURA CIRURGICA RETA,07
PC,MP,7856,JOELHO PEX COM FIXADOR 20MM,15
UN,OU,7940,BUCHA REDUÇÃO 25X20MM,15
UN,OU,7960,LUMINÁRIA CALHA  62x62 EMBITIDA + 4 LÂMPADAS,15
PC,MP,7980,TAMPO P/ PIA DE COZINHA 120X60CM C/ CUBA MARMORITE COR MARFIM,15
M,OU,6411,LONA PLÁSTICA PRETA 4X100,07
UN,OU,6562,"BROCA AÇO RAPIDO 2,5 MM",15
PC,MP,6614,PINUS APARELHADO 35X50X4200MM,15
SE,SE,6706,SERVICO DE HONORARIOS AUDITORIA,09
PC,MP,6757,PINUS BRUTO 39X200X2500MM,15
PC,MP,6758,PINUS BRUTO 39X100X2500MM,15
M,MP,6776,"CABO FLEXÍVEL ANT.CHAMA 750V - 70 C4 2,50MM 50M VERDE - INATIVAR ITEM",15
PC,OU,6848,CIM_PT 11_MRV_MAC,15
PC,OU,6868,KIT HIDRÁULICO_PT 10_MRV_MAC,15
PC,MP,6950,PARAFUSO HBS 8X260MM,01
UN,MT,7012,APAGADOR QUADRO BRANCO,07
UN,MT,7033,FITA CREPE 48X50M,07
UN,OU,7109,ESCOVA PARA UNHAS,15
UN,FE,7208,"ESMERILHADEIRA 7""",08
UN,OU,7214,SACOLA ALGODÃO 32X36,07
UN,MP,7321,SOLUÇÃO PREPARADORA PARA PVC 1L,01
UN,OU,6586,PERFIL U EPDM,15
UN,OU,6780,TINTA SPRAY VERDE,07
UN,FE,6781,CARRINHO PLATAFORMA,08
UN,DI,7044,LIXA MASSA,07
UN,OU,7313,Notebook Ideapad 330s Ryzen 5,15
UN,OU,7463,"CONECTOR DE EMENDA E DERIVAÇÃO 0,5 A 4MM 2P 32A PCT C/ 6",15
UN,OU,7507,TINTA REFIL IMPRESSORA,15
UN,OU,7544,FITA VEDA ROSCA 18MMX10M,01
UN,FE,7607,"ESPATULA PARA DRYWALL 10"" AMERICANA",07
UN,FE,7614,JOGO DE CHAVES PHILIPS,15
KG,MP,7675,IGOLFLEX PRETO,15
PC,MP,7689,ABRAÇADEIRA TIPO M 25MM,01
SE,SE,7703,SERVICO DE HONORARIOS FOLHA DE PAGAMENTO,09
PC,MP,7785,PINUS APARELHADO 30X45X3500MM,15
PC,MP,7802,PINUS BRUTO 45X100X5000MM,15
UN,MP,7820,QUADRO DE PVC DE EMBUTIR PARA 6/8 DISJUNTORS SEM BARRAMENTO,15
UN,MT,7828,"PORCA 1/2""",07
UN,OU,6363,FILTRO DE LINHA,07
UN,FE,6522,CHAVE DE FENDA PEQUENA,07
UN,FE,6551,RECEPTOR LASER DW0892 P/ NÍVEL,08
UN,FE,6553,CHAVE PHILIPS PEQUENA,07
UN,DI,6558,PINCEL 714X3 - INATIVAR ITEM,15
UN,MP,6620,PINUS APARELHADO 45X90X2700MM,15
UN,MP,6625,PLACA CIMENTÍCIA AUTOCLAVADA 8X1200X2800MM,15
PC,PA,6686,KIT FORRO DE GESSO_MRV_MAC,15
PC,MP,7074,CAIXA SPLIT CPP 016 RBX3 FLEX POLAR,15
PC,MP,7088,PARAFUSO HBS 8X300MM,15
UN,MT,7141,PLUG T TOMADA,07
UN,MP,7713,PINUS APARELHADO 45X90X2650MM,15
PC,MP,7739,PINUS APARELHADO  - INATIVAR ITEM,15
PC,MP,7740,PINUS APARELHADO 25X38X2700MM,15
UN,OU,7831,PARAFUSO LA CABEÇA FLANGEADA 4X30MM,15
UN,MP,7901,LUVA DE REDUCAO 25X20MM SOLDAVEL PVC MARROM AGUA FRIA TIGRE,01
UN,OU,7505,CABO CONVERSOR HDMI - VGA C/ AUDIO,15
UN,FE,7534,"VD BOMBA P/ ENCHER PNEUS 18""",07
UN,OU,7891,KIT ALCAPAO PVC BRANCO 60X60CM 13.1 PLASBIL,01
UN,FE,7925,CHAVE BOCA 14X15,15
UN,OU,7988,MODULO TOMADA RJ11,01
UN,OU,7990,MÓDULO PULSADOR CAMPAINHA - 1 TECLA C/ SINALIZADOR,01
UN,OU,8000,"PLACA E SUPORTE 4X4"" P/ 1 FUNÇÃO",15
UN,MP,8005,TORNEIRA DE BANCADA PARA PIA ESTEVES,01
UN,OU,8021,PROJETOR DE LUZ METÁLICO E40 400W,15
PC,EQ,8055,"ABRAÇADEIRA FIXA 0,22 PARA ANDAIME",07
PC,MP,8058,"VENEZIANA DE AÇO BRANCO 60,5X55,5CM",15
UN,OU,8062,PAQUIMETRO DIGITAL 200 MM,15
PC,MP,8081,"LUVA COM BUCHA DE LATAO 20MMX1/2"" SOLDAVEL PVC AZUL AGUA FRIA TIGRE",01
PC,SE,8087,SERVICO MANUTENÇÃO COMPUTADORES E NOTEBOOKS,15
UN,OU,8112,CINTA CATRACA 25 MM 10M 1T,15
PC,OU,8140,BUCHA PLASTICA VA 6MM COM ANEL,15
UN,MP,6654,TE DE REDUCAO 32X25MM SOLDAVEL PVC MARROM AGUA FRIA TIGRE,01
UN,MT,6792,PLUG 2P+T 16A 6H 200 250V,15
PC,OU,6834,OSB R_PT 04_MRV_MAC,15
PC,OU,6835,OSB R_PT 05_MRV_MAC,15
PC,OU,6836,OSB R_PT 06_MRV_MAC,15
PC,OU,6863,ESQUADRIAS_PT 11_MRV_MAC,15
PC,OU,6864,ESQUADRIAS_PT 02_MRV_MAC,15
PC,OU,6875,OSB_OT 02_MRV_MAC,15
PC,OU,6879,CIM_OT 02_MRV_MAC,15
UN,DI,7005,DISCO DE CORTE INOX 4.1/2,07
UN,OU,7050,SERRA COPO 32MM - BIMETAL,07
UN,MT,7129,DETERGENTE,07
UN,OU,7207,SALGADOS,07
UN,EQ,7237,OCULOS DE SEGURANÇA SOBREPOR INCOLOR,07
PC,OU,7242,ADESIVO TRAVA PARAFUSO MÉDIA RESISTÊNCIA,15
UN,DI,7336,MANOMETRO,07
PC,MP,7921,RUFO METÁLICO PARA VENTILAÇÃO SANITÁRIO EM AÇO GALVANIZADO,15
UN,OU,6732,CADEADO 35MM,07
UN,MT,7157,PANO MULTIUSO,07
UN,OU,7234,ANTICORROSIVO,15
M,MP,7401,GUARDA-CORPO CONT. MET C/ BALAÚSTRES CAD 15CM BRANCO,15
UN,OU,7601,SERRA COPO DIAMANTADA 40MM,07
PC,MP,7945,"ABRAÇADEIRA TIPO U 3"" SIMPLES",15
PC,EQ,8039,"PLATAFORMA DE AÇO T9 PARA ANDAIME 2,57X0,32M",07
PC,EQ,8049,"BARRA HORIZONTAL PARA ANDAIME 1,09 M",07
UN,MP,8079,CAIXA DE PASSAGEM ELÉTRICA DE PAREDE CPT20 EMBUTIR PVC,01
UN,MP,8080,JOELHO 90° 20MM SOLDAVEL PVC MARROM AGUA FRIA TIGRE,01
PCT,OU,8110,SACO DE LIXO AZUL 100L,07
PC,MP,8156,"LUVA PVC 1"" P/ ELETRODUTO",01
PC,MP,8158,MANTA DE POLIETILENO EXPANDIDO 4MM - INATIVO,15
UN,OU,8160,BUCHA PLÁSTICA 5MM,01
UN,MP,8161,"PARAFUSO CABEÇA LENTILHA LB 4,2X38MM",01
PC,MP,8172,"BARRA CHATA DE ALUMÍNIO 7/8""X1/8""X6M",01
UN,OU,6509,SERRA COPO 19MM,07
SE,SE,6457,SERVICO MANUTENÇÃO (IBRAP),15
UN,OU,6712,GIZ PEDREIRO,07
PC,OU,6873,MADEIRA_OT CX-A_MRV_MAC,15
PC,OU,6877,OSB_OT CX-A_MRV_MAC,15
PC,PA,6886,PT 05_MRV_MAC,15
PC,PA,6900,TA 1.1_MRV_MAC,15
PC,FE,7049,METRO PARA MARCENEIRO (DE MADEIRA),07
UN,MT,7324,DISCO DE LIXA G240 230MM,07
UN,DI,7455,BROXA RETANGULAR MEDIA,07
UN,OU,7516,CHAVE CANHAO 7/32,15
M2,MP,7577,CERÂMICA PARA PISO 45X45 ESMALTADO PEI5 JUNTA 6MM,15
SE,SE,7586,SERVICO DE LOCACAO DE BOMBA ESTACIONÁRIA,15
M,OU,7635,"MANGUEIRA IPVU 4""",07
PC,MP,8165,KIT MÓDULOS ELÉTRICOS,15
PC,MP,8169,ADERIDISCO 60MM INOX,15
PC,EQ,8181,"GUARDA CORPO 1,5M PARA ANDAIME SEM PORTA",15
UN,MP,8108,TOMADA EM BARRA TRIPLA 2P 10A,07
UN,OU,8189,ESCARIADOR COM LIMITADOR DE PROFUNDIDADE,15
UN,OU,8257,SOQUETE SEXTAVADO CURTO 1/2X16MM,07
PC,MP,8376,CONJUNTO DE BLOCOS DE SUSTENTAÇÃO,15
UN,MP,8377,ADAPTADOR METÁLICO 250MM GALV.,15
PC,OU,8392,PLACA DE SINALIZAÇÃO EMERGENCIA ROTA DE FUGA 300X150MM SAÍDA,15
M,MP,8415,"CABO FLEXIVEL ANT.CHAMA 750V - 70 C4 1,50MM² AZUL",01
UN,MP,8450,PORTA PINUS LISA SEMI-OCA 70X210CM,15
UN,MP,8511,SILICONE MODELO 768 DOW CORNING 300ML TRANSPARENTE,15
PC,MP,8521,PINUS APARELHADO 25X38X2650MM,15
UN,MP,8525,"TÊ PARA ESGOTO 50X50MM, ESGOTO SÉRIE NORMAL",01
PC,PA,8539,P2 10_TCT_ADL,04
PC,PA,8548,PT 01_TCT_ADL,04
PC,PA,8555,PT 08_TCT_ADL,04
PC,PA,8582,OT- 03_TCT_ADL,15
UN,MP,8593,"PARAFUSO AUTOBROCANTE 3,5MMX42MM COM BUCHA",15
UN,OU,8631,SOQUETE CANHAO 10MM,07
SE,SE,6705,SERVICO DE BENEFICIO DE VALE FARMACIA,09
PC,MP,6739,PINUS BRUTO 39X150X3000MM,15
UN,OU,7096,CAPACETE AZUL,07
UN,OU,7213,DOCES,07
UN,MP,7354,KIT PORTA INTERNA LISA BRANCO UV PIN. TOPO MDP C/ BORDA 700X2100MM ESQ,15
UN,MP,7359,"PORTA AL 70X220 DIR, 3 VID SUP BASC E 1 FIX, MINI-BOREAL, VZ INF VENT",15
UN,MP,7408,"PARAFUSO ROSCA SOBERBA PHILLIPS 3,5X40MM",15
UN,MP,7470,MINI DISJUNTOR 1P 16A CURVA C,15
PC,MP,7528,TRAVESSA METÁLICA T8,15
PC,MP,7569,CHAPA DE SEGURANÇA 90X180MM GALVANIZADO,01
PC,MP,7570,UNIÃO COM PLACA EM T GALVANIZADO,15
UN,MP,7572,"ARRUELA LISA 1/2""",01
UN,MP,7573,"ARRUELA DE PRESSÃO 1/2""",01
UN,MP,7575,ACABAMENTO 3 VIAS P/ TELHA PORTUGUESA NATURAL,15
PC,DI,7589,CILINDRO PNEUMATICO NORMALIZADO 80X250MM,07
UN,OU,7603,CARTUCHO QUÍMICO VO/GA 6003,15
PC,MP,6574,"ABRAÇADEIRA TIPO D C/ CUNHA 1.1/4""",01
PC,MP,6575,"ABRAÇADEIRA TIPO U SIMPLES LEVE 3""",15
PC,OU,7081,CARREGADOR USB CELULAR,07
SE,SE,7127,SERVIÇO DE INSPETOR DE QUALIDADE,15
UN,MP,7133,BACIA INOX REDONDA,15
UN,MT,7139,AGUARRAZ 5L,07
UN,OU,7192,GÁS P20 - EMPILHADEIRA,07
PC,MP,7559,PINUS APARELHADO 40X50X3000MM,15
UN,FE,7604,"SERRA COPO 4""",15
UN,OU,7644,"MANGUEIRA PRETA 3/4 X 1,5MM",15
PC,DI,7756,BATERIA LITIO 20V 2AH,08
PC,MP,7787,PINUS APARELHADO 25X39X2500MM,15
PC,MP,7853,TÊ PEX 16X16X16MM,15
UN,MP,7944,REGISTRO ESFERA VS 50MM SOLDAVEL PVC MARROM AGUA FRIA KRONA,01
PC,MP,7948,VIDRO ARAMADO,15
UN,OU,7983,ETIQUETA EM BOPP 105X150MM,15
UN,FE,6552,CHAVE PHILIPS GRANDE,07
UN,MP,6691,TOMADA EM BARRA DUPLA 2P 20A INTERNEED,15
PC,PA,6893,PT 12_MRV_MAC,15
PC,PA,6895,OT 02_MRV_MAC,15
PC,PA,6896,OT 03_MRV_MAC,15
PC,PA,6899,TA 1_MRV_MAC,15
PC,PA,6901,TA 2_MRV_MAC,15
M,MP,6972,"VERGALHÃO CA50 6,3MM 1/4 D12",15
UN,MP,6983,"TE COM BUCHA DE LATAO 25MMX3/4"" SOLDAVEL PVC AZUL AGUA FRIA AMANCO",01
PC,EQ,7052,GUARDA CORPO P/ ANDAIME,07
UN,OU,7306,Fonte Deepcool DA500 500W Bronze,15
UN,MP,8073,CURVA SOLDÁVEL 90°X50MM PVC,15
M2,MP,8109,MANTA BIDIM GEOTÊXTIL,15
UN,MT,8126,"REGUA PARA SERRA 1,40M",15
UN,MT,8243,RODA DE LIXA 25MM GR80,15
UN,OU,8260,ETIQUETA BOPP BRANCO FOSCO BORR 100 X 25 X 1 L066,07
PC,MP,8275,"GUARDA CORPO 0,85X1,4M BRANCO TUBULAR",15
PC,MP,6580,PINUS BRUTO 50X160X3700MM,15
PC,MP,6754,PINUS BRUTO 39X75X2500MM,15
PC,MP,6959,PINUS BRUTO 50X300X3500MM,15
PAR,MP,7026,CONECTOR HC PAR D/E 50X122MM - INATIVAR ITEM,15
PC,MP,7981,CUBA EM AÇO INOX 45X35X17CM,15
UN,OU,7994,MÓDULO TOMADA HEXAGONAL (NBR 14136) 2P+T 20A,01
UN,MT,8022,"CONDULETE DE ALUMÍNIO MÚLTIPLO 3/4""",07
PC,MT,8024,"TOMADA 2P+T 20 A PARA CONDULETE 3/4""",15
R,OU,8065,"MANTA ALUMINIZADA AUTO-ADERENTE 0,05X10M - INATIVAR",15
UN,MP,8103,DISJUNTOR 2P 40A,15
UN,OU,8193,LIXEIRA PLASTICA 100L COM TAMPA,07
PC,OU,8269,TAMPO REFORÇADO EM MDF 30MM 124X680CM,15
UN,MP,8411,CONTRAMARCO 6M TCV-0001 A TRATAR,01
PC,PA,8463,KIT MONTAGEM COBERTURA_TCT_ADL,15
PC,PA,8488,KIT HIDRÁULICA SUPERIOR_TCT_ADL,15
PC,PA,8494,KIT TELECOM OBRA_TCT_ADL,15
PC,OU,8266,MESA EM MDF 30MM 105X72X60CM,15
SE,SE,8188,SERVIÇO DE CONSERTO DE FERRAMENTAS ELÉTRICAS,09
UN,MP,8422,DISJUNTOR 32A 3KA 1P CURVA C SOPRANO,01
UN,MP,8454,"BÓIA P/ CAIXA D ÁGUA 3/4""",15
PC,FE,8519,ESQUADRO CABO PVC 25CM,15
PC,PA,8542,P2 22_TCT_ADL,04
PC,PA,8543,P2 33_TCT_ADL,04
PC,PA,8565,E-02_TCT_ADL,15
PC,PA,8574,T- Escada_TCT_ADL,15
UN,MP,8595,"KIT PORTA INTERNA LISA BRANCA ACABADA 0,8X2,1M DIR BAT 160MM VIST 70MM",15
UN,MP,8626,"ARRUELA LISA 5/16""",07
UN,DI,8627,REGUA DE ALUMINIO 3M,07
UN,MT,8632,FITA ISOLANTE 18MM 20M,07
PC,MP,8635,REGISTRO DE PRESSÃO 3/4 DRYWALL DECA 4416.215,15
UN,MP,8655,PROMASEAL - AG 310ML,15
PC,MP,8670,SOLEIRA PEDRA NATURAL 420X15X2CM C/ CHANFRO E PINGADEIRA,15
PC,MP,8671,"SOLEIRA PEDRA NATURAL 324X3,5X2CM",15
CX,MP,6528,ARGAMASSA POLIMÉRICA VIAPLUS 1000 18KG,15
UN,DI,7229,PLAINA NR4,15
UN,MP,7353,BOCAL P/ RALO VIABOC 100MM,01
UN,MP,7372,"LUVA COM ROSCA 25MMX3/4"" SOLDAVEL PVC MARROM AGUA FRIA",01
UN,MP,7377,"JUNÇÃO SIMPLES 50X50MM, ESGOTO SÉRIE NORMAL",01
UN,DI,7413,MINI EXTRATOR 3 GARRAS,15
PC,MP,7428,PARAFUSO HBS 8X160MM TRATADO,15
UN,OU,7452,SOQUETE SEXTAVADO CURTO 1/2X18MM,07
BD,MP,7476,"TINTA LATEX BRANCO NEVE SUVINIL 3,6L",15
PC,FE,7598,CAIXA MEIA ESQUADRIA MADEIRA,15
UN,OU,7609,LIXA DA AGUA G120,15
PC,PA,7621,P2 07A_TCT_SLB,15
PC,DI,7643,BROCA SDS PLUS 19X210MM,07
PC,MP,7681,"SOLEIRA PEDRA NATURAL 120X19,2X2CM",15
PC,MP,7842,UNIÃO TUBOS PEX 16MM,15
UN,OU,8355,AMORTECEDOR SUPERIOR PREGADEIRA 70CN,07
SE,SE,6396,SERVICO DE FORRO - INATIVAR ITEM,15
SC,MP,6593,ARGAMASSA MULTIUSO 50KG,15
UN,MP,6655,TE 40MM SOLDAVEL PVC MARROM AGUA FRIA AMANCO,01
PC,PA,6673,KIT GESSO_MRV_MAC,15
UN,OU,6699,BROCA DE AÇO RÁPIDO 16MM,15
PC,MP,6738,PINUS BRUTO 39X150X2900MM,15
PC,MP,6935,PINUS APARELHADO 35X50X3700,15
UN,MP,6989,MONTANTE DRYWALL M48,01
UN,OU,6998,PARAFUSO CABEÇA CHATA 4X60,15
UN,MP,7023,"PERFIL Z1 16,0X2,5M",15
M2,OU,7048,LONA PRETA,07
UN,OU,7099,"JOGO DE BROCA 2,0X8,0",15
UN,MT,7103,ARRUELA 3/8,07
UN,MP,7108,PARAFUSO HBS 6X220MM,01
M2,MP,7153,TELA COBERTURA CIMENTICIA 1MX50M (VERTEX),15
UN,FE,7168,SACA PINO,07
CJ,FE,7169,CHAVE ALLEN,07
PC,MP,7806,PINUS APARELHADO 25X38X3500MM,15
SC,MP,7971,TEXTURA ACRILICA 15KG - COR BRANCA,15
UN,FE,8229,GERADOR BRIGGS ELITE 8000,15
PC,EQ,8052,"BASE REGULAVEL PARA ANDAIME 0,80",07
UN,MP,8067,ARRUELA LISA M10,15
PC,MP,8167,QUADRO DE DISTRIBUIÇÃO MONTADO,15
PC,MP,8379,CHAMINÉ PINTADA ESPIRAL 250X1000MM,15
UN,EQ,8405,JAQUETA EM TYVEK COM CAPUZ M,15
UN,MP,8421,DISJUNTOR 20A 3KA 1P CURVA C SOPRANO,01
UN,MP,8587,VIGA METALICA DOBRADA 50X190X50X6520 MM TRATADA,15
UN,MP,8596,"KIT PORTA INTERNA LISA BRANCA ACABADA 0,8X2,1M ESQ BAT 160MM VIST 70MM",15
UN,FE,8615,"CAVADEIRA ARTICULA COM CABO 1,40M",07
M,MP,8658,CHAPÉU CHINÊS,15
PC,MP,8672,"SOLEIRA PEDRA NATURAL 87X3,5X2CM",15
PC,MP,8673,"SOLEIRA PEDRA NATURAL 226X3,5X2CM",15
PC,MP,8674,"SOLEIRA PEDRA NATURAL 41X3,5X2CM",15
UN,OU,7131,SIFÃO SANFONADO,15
UN,MP,7146,ACABAMENTO 3 VIAS P/ TELHA PORTUGUESA BRANCA,15
PC,MP,8095,"CUMEEIRA ARTICULADA DE FIBROCIMENTO 1,10M SUP",15
UN,OU,8196,CARTUCHO COLORIDO HP664 XL PARA IMPRESSORA,07
UN,MP,8390,RECARGA DE EXTINTOR DE GÁS CO2 6KG,15
PC,PA,8470,KIT ARREMATE ESCADA_TCT_ADL,15
PC,PA,8568,E-05_TCT_ADL,15
PC,PA,8570,E-07_TCT_ADL,15
M2,MP,8610,"CERÂMICA ESMALTADA 32X56, PEI-3, CLASSIC BIANCO",15
M,MP,8676,"CABO FLEXIVEL ANT.CHAMA 1kV - 90° EPR/HEPR/XLPE C4 16,00MM² AZUL",01
M,MP,8690,GUARDA-CORPO FIX CHÃO,15
M,MP,8691,GUARDA-CORPO FIX PAREDE,15
M,MP,8692,GUARDA-CORPO FIX PAREDE C/ PORTÃO DE ACESSO,15
M,MP,8693,CORRIMÃO FIX PAREDE,15
PC,OU,8697,"PARAFUSO ROSCA SOBERBA CABEÇA CHATA 4,8X65MM",15
M,MP,8705,FORRO PVC MOLDURA TETO,15
M2,MP,8710,PORCELANATO RETIFICADO A 50X100,15
SE,SE,6460,SERVICO DE LOCACAO DE CONTAINER BANHEIRO,15
PC,OU,6463,DESENGORDURANTE 500 ML,15
UN,EQ,6467,OCULOS DE SEGURANÇA SS5 FUME,07
PC,DI,6508,CARREGADOR DE BATERIA DC18RD 127V,15
UN,MP,6643,"JANELA ALUMINIO 120,6X121,6 3 FLH 2 EM VNZ (1 VENT, 1 N/ VENT)",15
UN,MP,6666,"ADAPTADOR PARA MÁQUINA DE LAVAR ROUPA E LOUÇA, 40MM",01
SE,SE,6941,SERVIÇO EQUIPE DE MONTAGEM,09
PC,MP,6728,PINUS BRUTO 39X250X3000,15
PC,MP,6753,PINUS BRUTO 39X300X3000MM,15
M,MP,6775,"CABO FLEXÍVEL 750V TERRA-2,5MM² BRASILEIRINHO",01
PC,OU,6837,OSB R_PT 07_MRV_MAC,15
PC,PA,6889,PT 08_MRV_MAC,15
SE,SE,6904,MO DE MONTAGEM DE COBERTURA,15
SE,SE,6908,MO PLANICIDADE,09
UN,MP,7101,PINUS BRUTO 47X195X3000MM,15
UN,OU,7297,Processador Ryzen 7 2700,15
PC,DI,6507,CARREGADOR DE BATERIA DC18RC BI-VOLT,08
KG,MP,6811,CHAPA PREGO GNA,15
UN,MP,7140,"AGUARRAZ 0,9L (MANUT PREDIAL)",15
UN,OU,7333,SUCO,07
